background,link
"[20fall.ms.rej][stat/biostat@berkeley] - 2020-03-10 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610320&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][material@rpi] - 2020-02-25 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607402&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][stat/biostat@imperial] - 2020-02-26 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610317&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][stat/biostat@harvard] - 2020-02-24 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610312&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][stat/biostat@pitt] - 2020-01-29 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610306&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][stat/biostat@uw] - 2020-02-14 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610310&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@jhu] - 2020-03-13 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608992&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[19fall.ms.ad小奖][cs@nyu tandon] - 2 14 - cs本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=481452&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][mis@uw] - 2020-03-15 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610255&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@uva] - 2020-03-12 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608282&extra=page%3D4%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@uva] - 2020-03-12 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608282&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@brown] - 2020-02-13 - ee本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=593620&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@uva] - 2020-03-11 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607439&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@uw] - 2020-01-23 - cs本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=586686&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][hci/design/media@uw] - 2020-03-14 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610213&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][hci/design/media@uw] - 2020-03-14 - 建筑学本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609544&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][hci/design/media@uw] - 2020-03-13 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609800&extra=page%3D5%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@ubc] - 2020-03-14 - 电子信息工程本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609531&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@duke] - 2020-02-12 - cs本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=592707&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@bu] - 2020-03-04 - 计算机科学本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610013&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@columbia] - 2019-12-27 - mathematics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=581079&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][me@jhu] - 2020-02-25 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608987&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][ee@duke] - 2020-03-03 - ee, double e-commerce本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=602165&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@usc] - 2020-03-04 - 物联网工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=602988&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][mis@uw] - 2020-03-15 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610270&extra=page%3D6%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][datascience/analytics@usfca] - 2020-01-10 - 经济金融本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=587904&extra=page%3D7%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][hci/design/media@nyu] - 2020-03-11 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607173&extra=page%3D7%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][cs@ohiostate] - 2020-01-25 - 计算机科学与技术本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=587266&extra=page%3D7%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][hci/design/media@uw] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610254&extra=page%3D7%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][mis@uw] - 2020-03-15 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610240&extra=page%3D7%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@duke] - 2020-03-14 - cs本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609891&extra=page%3D7%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][me@harvard] - 2020-02-06 - 力学本科top15,力学研究生top15
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610224&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@tamu] - 2020-03-07 - cs本科top15,研究生非211/985
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609897&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.rej][ee@wustl] - 2020-03-14 - 本科top30,研究生top30
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610057&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][datascience/analytics@university of washington] - 2020-01-25 - 计算数学本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=587212&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][hci/design/media@austin] - 2020-03-13 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610208&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][datascience/analytics@uw] - 2020-01-25 - stat本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=601007&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][ee@rochester] - 2020-03-12 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608359&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@usc] - 2020-03-13 - mis本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609944&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][datascience/analytics@uw] - 2020-02-06 - traffic engineering本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=590868&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@rochester] - 2020-03-13 - 信息安全本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609151&extra=page%3D8%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@ucsd] - 2020-03-04 - 软件工程本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=602963&extra=page%3D9%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@columbia] - 2020-03-14 - 信息与计算科学本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610017&extra=page%3D9%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][cs@case] - 2020-03-07 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=605239&extra=page%3D9%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@northwestern] - 2020-03-14 - stats+econ本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609872&extra=page%3D9%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][cs@unc] - 2020-02-06 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608371&extra=page%3D9%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][stat/biostat@pennstate] - 2020-03-12 - 本科top30,海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608879&extra=page%3D9%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@duke] - 2020-03-12 - business & accounting本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610112&extra=page%3D10%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.ad无奖][stat/biostat@pennstate] - 2020-02-19 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=597797&extra=page%3D10%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][cs@ucsc] - 2020-03-13 - 本科top30,海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609670&extra=page%3D10%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@nyu.tandon] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609863&extra=page%3D10%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][ieor@duke] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609769&extra=page%3D10%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ieor@gatech] - 2020-03-09 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609641&extra=page%3D11%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@umass] - 2020-03-14 - se本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610092&extra=page%3D11%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][cs@uga] - 2020-01-30 - 本科top30,海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=603614&extra=page%3D11%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mfe/fin/finmath@uiuc] - 2020-03-14 - 金融本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610078&extra=page%3D11%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@nyu] - 2020-03-14 - cs本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609580&extra=page%3D12%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@cmu] - 2020-03-13 - 计算机科学与技术本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609189&extra=page%3D12%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.rej][ee@jhu] - 2020-03-12 - 本科top30,研究生top30
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610054&extra=page%3D12%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.全额奖学金][cs@uwaterloo] - 2020-03-03 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609704&extra=page%3D12%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ieor@neu] - 2020-02-28 - 化工-电化学方向本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=601143&extra=page%3D12%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.全额奖学金][ee@gatech] - 2020-02-12 - 信息工程本科top15,ece海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=593228&extra=page%3D12%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@rochester] - 2020-03-14 - 软件工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609992&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@uchicago] - 2020-02-26 - 信息与计算科学本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=599104&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-13 - 计算机科学本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610020&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][material@cmu] - 2020-03-09 - biotechnology本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610000&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][compeng@nyu.tandon] - 2020-03-14 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610014&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@cmu] - 2020-03-06 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610012&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@cornell] - 2020-03-06 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610011&extra=page%3D13%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][material@berkeley] - 2020-03-13 - 高分子材料与工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608794&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-14 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609464&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][hci/design/media@cmu] - 2020-03-12 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608840&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@rochester] - 2020-03-14 - 计算机科学与技术本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609925&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@emory] - 2020-01-02 - 软件工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609660&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][liberalarts@nyu] - 2020-03-12 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608921&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@gatech] - 2020-03-14 - ee本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609510&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@wustl] - 2020-03-05 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=604278&extra=page%3D14%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-13 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609997&extra=page%3D15%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@duke] - 2020-02-27 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=599879&extra=page%3D15%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-14 - 软件工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609994&extra=page%3D15%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][stat/biostat@umich] - 2020-03-12 - 统计本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609981&extra=page%3D15%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.phd.ad无奖][me@ucla] - 2020-03-04 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=602909&extra=page%3D16%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ieor@duke] - 2020-02-12 - 电子信息工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=593540&extra=page%3D16%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][ee@uw] - 2020-03-11 - ee本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607269&extra=page%3D16%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@ucla] - 2020-03-12 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608133&extra=page%3D16%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@rice] - 2020-03-12 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609961&extra=page%3D16%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
